쌀국수,아시안,,뜨거움,면/국물,,1
샐러드,양식,안매움,차가움,야채,간단,1
초밥(스시),일식,안매움,차가움,해물,,1
짜장면,중식,,뜨거움,면,,1
짬뽕,중식,매움,뜨거움,면,,1
국밥,한식,안매움,뜨거움,밥/국물,간단,1
떡볶이,한식,매움,뜨거움,떡,간단,1
삼겹살,한식,안매움,,고기,,1
치킨,한식,,,고기,,1
김치찌개,한식,매움,뜨거움,밥/국물,,1
마라탕,중식,매움,뜨거움,고기/해물/야채,,1
빵(쿠키),디저트,,,빵,간단,2
샌드위치,양식,,,빵/야채,간단,2
스테이크,양식,,,고기,,2
파스타,양식,,,면,,2
피자,양식,,,빵,,2
햄버거,양식,,,빵,간단,2
돈까스,일식,,,고기,,2
샤브샤브,일식,,뜨거움,고기/야채/국물,,2
회덮밥,일식,안매움,,해물/밥,,2
마라샹궈,중식,매움,,고기/해물/야채,,2
탕수육,중식,,,고기,,2
곱창/막창,한식,,,고기,,2
국수,한식,,뜨거움,면/국물,,2
냉면,한식,,차가움,면,,2
닭갈비,한식,매움,뜨거움,고기,,2
삼계탕,한식,안매움,뜨거움,고기/국물,,2
설렁탕,한식,안매움,뜨거움,고기/국물,,2
순대국,한식,,뜨거움,고기/국물,,2
아구찜,한식,매움,뜨거움,해물,,2
찜닭,한식,,뜨거움,고기,,2
청국장,한식,안매움,뜨거움,밥/국물,,2
해물찜,한식,매움,뜨거움,해물,,2
해물탕,한식,매움,뜨거움,해물/국물,,2
보쌈,한식,,뜨거움,고기,,2
소고기,한식,,뜨거움,고기,,2
양꼬치,중식,,뜨거움,고기,,2
오리고기,한식,,뜨거움,고기,,2
족발,한식,,,고기,,2
쭈꾸미,한식,,,해물,,2
김치찜,한식,매움,뜨거움,밥,,3
간장게장,한식,안매움,,해물,,3
감바스,아시안,,뜨거움,해물,,3
분짜,아시안,,,고기/면,,3
브리또,아시안,,,밥/고기,간단,3
월남쌈,아시안,안매움,,야채/고기,,3
라멘,일식,,뜨거움,면/국물,,3
모밀(소바),일식,안매움,차가움,면,,3
회,일식,안매움,차가움,해물,,3
만두,중식,,,고기/야채,,3
훠궈,중식,,뜨거움,고기/야채/국물,,3
추어탕,한식,안매움,뜨거움,해물/국물,,3
갈비탕,한식,안매움,뜨거움,고기/국물,,3
감자탕,한식,매움,뜨거움,고기/국물,,3
곰탕,한식,안매움,뜨거움,고기/국물,,3
곱창전골,한식,매움,뜨거움,고기/국물,,3
김밥,한식,,,밥,간단,3
닭도리탕,한식,매움,뜨거움,고기/국물,,3
만두국,한식,안매움,뜨거움,밥/국물,,3
매운탕,한식,매움,뜨거움,해물/국물,,3
부대찌개,한식,매움,뜨거움,밥/국물,,3
불고기,한식,안매움,,고기,,3
비빔밥,한식,안매움,,밥/야채,,3
육회,한식,안매움,,고기,,3
굴(석화),한식,,,해물,,3
대게,한식,,,해물,,3
대하,한식,,,해물,,3
랍스타,양식,,,해물,,3
오징어,한식,,,해물,,3
타코,아시안,,,고기,,4
우동,일식,안매움,뜨거움,면/국물,,4
육개장,한식,매움,뜨거움,밥/국물,,4
우육면,아시안,,뜨거움,고기/면,,4
와플,디저트,,,빵,,4
케이크,디저트,,,빵,,4
커리,아시안,,뜨거움,밥,,4
케밥,아시안,,,밥,,4
팟타이,아시안,,,면/야채/고기,,4
리조또,양식,,뜨거움,밥,,4
오코노미야끼,일식,안매움,뜨거움,해물,,4
깐쇼새우,중식,,,해물,,4
깐풍기,중식,,,고기,,4
유린기,중식,,,고기,,4
밥버거,한식,,,밥,간단,4
볶음밥,한식,,,밥,,4
순대,한식,안매움,,고기,,4
순두부찌개,한식,매움,뜨거움,밥/국물,,4
제육덮밥,한식,매움,,고기/밥,,4
죽,한식,,뜨거움,밥,간단,4
똠양꿍,아시안,매움,뜨거움,해물/야채/국물,,5
빙수,디저트,,차가움,,,5
아이스크림,디저트,,차가움,,,5
핫도그,디저트,,,빵,,5
퀘사디아,아시안,,,고기/빵,,5
푸팟퐁커리,아시안,,,밥,,5
필라프,아시안,,,밥,,5
라면,한식,매움,뜨거움,면/국물,간단,5